SKU|User|Title|Content|Points|Status|Comment|Date of Review
E1031420|Galadriel|Frage an Elbenwald|When will the scarf be available again?|5.0|1|Hi Galadriel, we have already placed a reorder. However, we expect the delivery only by the end of February/early March. Best wishes from the Elvenwood!|2018-01-03 18:37:19
E1041834|Leoni|Super schön|I haven't bought the costume yet, but I already find it totally cute. I have one question: Can the jacket be removed? Because with many costumes, that's not possible.|5.0|1|Hi Leonie, since the shirt is not part of the delivery and the costume only consists of the jacket and the shorts, you can of course put the jacket on and take it off as often as you like. Best wishes from the Elven Forest!|2018-01-03 22:35:39
E1034109|Harry Potter|Hagrid und Hermine??????|Hello, Elbenwald. I would like to know if you also sell Hagrid as a Funko and also if you sell the regular Hermione (without the Time-Turner and the bruise under her eye).|5.0|1|Hi Harry, our selection of mini-figures changes from time to time, unfortunately I can't give you more specific information. Feel free to check in with us every now and then. Best wishes from the Elvenwood!|2018-01-04 14:04:50
E1048229|Ben|Sehen super aus - Qualität naja.|Already on the first day of wearing them, the seam to the sole came undone. However, I didn't return the slippers because I thought this would probably happen again sooner or later, so I sewed them myself. They look great and are very soft.|2.0|1|Hi Ben, too bad you didn't get in touch. We would of course have exchanged the slippers. Best wishes from the Elven Forest!|2018-01-04 16:23:49
E1006144|Eule|Sehen im Set super aus :)|I wished for the earrings for Christmas :) they look great :) They complete the necklace and ring to make a wonderful set :) Now I'm just looking for a matching bracelet.|5.0|1|"Hi Owl, a suitable bracelet could be, for example, this {""Evening Star Bracelet""|ArticleUrlOrNot:E1002188:""currently out of stock""}. Best wishes from the Elvenwood!"|2018-01-04 20:49:13
E1029077|Chrissyka|Leider Entäuschend|The bag does not do justice to the photo; the card is barely visible to me, and the fabric is much darker. The double-D closure (the rings for adjusting the shoulder strap) does not hold for me. I was very disappointed and will return the bag if possible. Too bad, it's really nice and soft and spacious.|2.0|1|"Hi Chrissyka, we are truly sorry about this. Please contact our <a href=""https://www.elbenwald.de/Kontaktformular"">customer support</a>, together we will surely find a solution. Best wishes from Elbenwald!"|2018-01-04 22:12:55
E1049083|Vanessa|Kurios|"I wanted to give these balls to my friend as a birthday present this year because he's a big Harry fan. 
But since they were no longer available, I had myself informed by email if they should be in stock again. I received an email yesterday at 23:31 (04.12.18), now I go to the article and they are not available again. Seriously?! Within just under 2 hours, everything is gone again? O.o"|3.0|1|Hi Vanessa, we only received a small delivery, which was actually sold out on the same day. I'm truly sorry that it didn't work out. Best regards from the Elbe Forest!|2018-01-05 02:37:00
E1044404|Hermine|Liebes Elbenwald-Team...|Dear Elbenwald Team, what is actually the difference between the scarf and the one for 29.90 Euros?|5.0|1|Hi Hermine, the scarves come from different manufacturers. This one here is only available from us, the biggest differences to the other one are the length of the scarf, the fringe, and the color of the logo. Best regards from the Elvenwood!|2018-01-06 20:38:23
E1036564|Sandra|coole Farbe, passt leider nicht|Unfortunately, the costume was much too big for me. I wear a size 38 or M, and the M costume was especially too wide at the shoulders.|3.0|1|"Hi Sandra, we are truly sorry about that. Please send us a message through our <a href=""https://www.elbenwald.de/Kontaktformular"">customer support</a>, we would be happy to assist you with the exchange. Best regards from Elbenwald!"|2018-01-06 21:09:34
E1002285|Frodo|Ein echt toller Ring|"I find this ring really well made, but I wore it for two hours and when I took it off, I had a green finger at the spot where the ring had been, and the color of the ring was no longer completely visible on the inside.
As I said, I otherwise find the ring quite good and can actually recommend it."|3.0|1|"Hi Frodo, we are truly sorry about this. Please reach out to our <a href=""https://www.elbenwald.de/Kontaktformular"">customer support</a> with a message, together we will surely find a solution. Best wishes from Elbenwald!"|2018-01-07 12:33:18
E1005729|Lordi Voldi|Eine Frage?|The one on the ring is indeed the Resurrection Stone, right? And what materials is the ring and the stone made of?|5.0|1|Hi Lord, the ring is made of a zinc alloy, the stone is made of plastic and has a metallic underside. Best wishes from the Elvenwood!|2018-01-07 20:20:07
E1019965|Christiane|Rückzahlung dauert zu lange|I understand that returns after Christmas may take a little longer, but after 11 days, still no refund? I've already received the second order (I ordered a size larger) and it's really going very well with you. But you still need to work on the return service.|2.0|1|"Hi Christiane, unfortunately, I couldn't clearly assign an order to you. Please contact our <a href=""https://www.elbenwald.de/Kontaktformular"">customer support</a>, together we will surely find a solution. Best regards from Elbenwald!"|2018-01-08 09:16:26
E1041301|Holger|Sehr dünner Stoff|"I ordered XXL because I usually wear XL. So far, so good. However, I absolutely do not like the fabric quality. Honestly, I can't remember a shirt in 20 years that had such a thin, flimsy, and lightweight fabric.

If you like something light, stretchy, and airy, you're in the right place though."|2.0|1|"Hi Holger, please contact our <a href=""https://www.elbenwald.de/Kontaktformular"">customer support</a> with a message, we are happy to assist you with the return. Best regards from Elbenwald!"|2018-01-08 11:04:50
E1046074|Boba|Wieso????|"WHY do you put a Star Wars logo on the back pockets somewhere????
For fans, it's obviously Star Wars, and non-fans don't even need to know! Why are you doing this to me????"|3.0|1|Hi Boba, since we don't manufacture this bag ourselves, unfortunately we also have no influence on the design, I'm really sorry. Best wishes from the Elven Forest!|2018-01-08 19:22:35
E1043297|Bennet|Wunderschöne Figur, jedoch...|Unfortunately, with the Hungarian Hornet (at least for me), you can clearly see on the top of the display case lid that too much glue/silicone was used. That is, when the piece in wood finish was glued to the display case, the glue/silicone overflowed. It really doesn't look very nice. But the figure itself is wonderful, the only deduction is for the messy gluing.|4.0|1|"Hi Bennet, please get in touch with us via our <a href=""https://www.elbenwald.de/Kontaktformular"">customer support</a> with a message and a photo of the figure, together we will surely find a solution. Best wishes from Elbenwald!"|2018-01-09 12:43:43
E1043295|bert|Betrug,in kleinsten Dingen|"The video says that the figure is 18 cm tall, but that's not true, I measured 17.5 cm!!! I think if you're going to make a video, you should give the correct measurements and not just half-truths.
I will probably keep the figure despite these issues and give it 5 stars."|3.0|1|Hi Bert, it's a shame that you're taking it that way. The correct height of 17.5 cm is stated in the item description for the figure, and I can only apologize for the inaccurate rounding in the video. Best wishes from the Elvenwood!|2018-01-09 17:03:28
E1003195|Unbekannt|SLYTHERIN? GRÜN?|Why is Slytherin here blue and not green? I'm just curious! It wasn't meant to be mean!!! Best regards!|5.0|1|Hi Unknown, it's a dark emerald green here, blue is really only the Ravenclaw logo. Best wishes from the Elvenwood!|2018-01-09 20:21:31
E1040991|Sandra|Schlechte Qualität|It went exactly the same for me as it did for Tiina - the sweater was washed just once and the colors faded so much that the sweater now looks like it's already 10 years old! My daughter is also very disappointed because she wanted the sweater so much....|1.0|1|"Hi Sandra, we are truly sorry about that. Please contact our <a href=""https://www.elbenwald.de/Kontaktformular"">customer support</a>, together we will surely find a solution. Best regards from Elbenwald!"|2018-01-10 09:01:03
E1000804|Kai|Schöner Ring|I would just like to know why there is no replica of Nenya that looks exactly the same. The replica of Narya looks just like the ring in the movie, except for the color, which is not accurate. But otherwise, I am also satisfied; the €150 version is already better than the one for €89.|4.0|1|Hi Kai, unfortunately, the replica of Nenya has been sold out for a long time and cannot be reordered, I'm really sorry. Best wishes from the Elvenwood!|2018-01-10 09:26:14
E1044445|Albus|Dumbledore|I have a question: is there also an Elderstaff?|5.0|1|Hi Albus, unfortunately, the Lumos Elder Wand is no longer being produced, I honestly feel sorry about that. Best wishes from the Elven Forest!|2018-01-10 15:46:30
E1045509|Luana Snape|Frage|Will this backpack also be available for Ravenclaws?|5.0|1|Hi Luana, unfortunately, we haven't discovered a Ravenclaw variant yet, but we'll keep our eyes open. Best wishes from the Elvenwood!|2018-01-10 17:48:13
E1048529|Lilly Potter|Schönes Bild|A friend of mine bought this beautiful picture and I'm planning to do the same. Are there such luminous pictures with other motifs available?|5.0|1|Hi Lilly, currently we don't have any more pictures in our range, but I'll gladly pass on your wish to our developers. Best wishes from the Elbenwald!|2018-01-10 20:01:57
E1000642|Nicole|Absolut überteuert und die Qualität einfach nur schlecht!|The price is absolutely not justified. At first glance, it looks nice, but upon closer inspection, it's of absolutely poor quality. 20€ might be appropriate, but anything beyond that is just a rip-off. I really expected more from this online retailer. I could have ordered it in China for significantly less money. Impossible! I would love to return it, but unfortunately, my child, being a huge Hermione fan, would be sad.|2.0|1|"Hi Nicole, it's a shame that you have such a bad impression of our time machine. Please contact our <a href=""https://www.elbenwald.de/Kontaktformular"">customer support</a>, together we will surely find a solution. Best regards from Elbenwald!"|2018-01-10 20:34:05
E1041533|Leslie|Schönes T-Shirt|It's not an original Marvel shirt, but it's well printed. It was just unfortunately a bit too big, but I'll order a new one.|4.0|1|Hi Leslie, the shirt is officially licensed by Marvel. Best wishes from the Elven Forest!|2018-01-10 20:53:58
E1044454|Thomas Pfister|Frage an Elbenwald|"Are all PTuwszfs rods actually from the NobleCollection or are they at least licensed products?
Thanks
Thomas"|5.0|1|Hi Thomas, all our wands are officially licensed products, the wands from PTuwszfs all come from The Noble Collection. By the way, you can also find this and more information in our item description. Best wishes from the Elvenwood!|2018-01-10 21:40:29
E1000642|Kenneth|Hmm|"Hello, I'm considering buying the Time Turner. Since I'm male, is the Time Turner ""unisex""? And can the gold alloy wear off over time?? Because I would also wear it. Thanks in advance."|5.0|1|Hi Kenneth, our wand expert Chris often uses his time-turner, and here it really doesn't matter whether you're a witch or wizard. However, I must point out that this is a collector's item, and therefore we haven't conducted a long-term durability test on the gilding. Best wishes from the Elvenwood!|2018-01-10 21:41:52
E1019338|Margot|Enttäuscht|I bought this mechanical pencil last spring. The clip for the lead broke the first time I used it. Now the lead slips into the clip every time I write. :( What a shame!|1.0|1|"Hi Margot, it's a shame you didn't contact our <a href=""https://www.elbenwald.de/Kontaktformular"">customer support</a> directly. Please follow up on that, maybe we can still find a solution. Best wishes from Elbenwald!"|2018-01-12 22:52:01
E1013164|Julian|Nicht vorort|I wanted to look at this scarf and probably buy it to see if I like the quality. You said it was in stock at the store, but that's not true now. I've driven 2.5 hours to this store for nothing.|2.0|1|"Hi Julian, I'm really sorry about that. Please send us an email to our <a href=""https://www.elbenwald.de/Kontaktformular"">customer support</a>, together we'll surely find a solution. Best wishes from Elbenwald!"|2018-01-13 17:05:16
E1005725|Hufflepuff---|Gibt's die auch bald für Hufflepuff??|Hey, could you please tell me if it will also be available for Hufflepuff soon? So far, you only have it for the other three houses... that's a shame.|2.0|1|Hi Hufflepuff, the silk version of the Hufflepuff tie is currently completely sold out and will not be restocked for the time being. Best wishes from the Elvenwood!|2018-01-13 21:00:42
E1002285|Arvid|kleine Makel|"Unfortunately, my ring has a black spot on the lower part of the ring. Is it possible to exchange the ring?
Otherwise, I really like the ring!"|5.0|1|"Hi Arvid, please contact our <a href=""https://www.elbenwald.de/Kontaktformular"">customer support</a>, together we will surely find a solution. Best regards from Elbenwald!"|2018-01-14 12:29:44
E1047880|Tomas E.|Hinsetzen|Can you safely sit down with the holster without the wand breaking, or is the thing only suitable for standing/walking?|5.0|1|Hi Tomas, you can also sit on it, although you obviously have to be careful. Best wishes from the Elven Forest!|2018-01-14 14:40:04
E1048799|Bellatrix|Nicht so schön|It looks so fake, and you can tell from 5 meters away that this medallion is a forgery. But that's just my opinion, so it's in the eye of the beholder.|1.0|1|"Hi Bellatrix, I honestly apologize that you don't like it. Please contact our <a href=""https://www.elbenwald.de/Kontaktformular"">customer support</a>, together we will surely find a solution. Best regards from Elbenwald!"|2018-01-14 15:11:04
E1003416|Jens|Wie wird der Stab geliefert|"Question:

Is the walking stick packaged in a special packaging?"|5.0|1|Hi Jens, the walking stick comes in a white box. There is no gift wrapping included. Best wishes from the Elbenwald!|2018-01-14 17:19:23
E1049225|Manuela Wanecek|Das T-Shirt ist zu klein|It may be true that clothes look better on slender people. But even I, as a not-so-slender person (who also likes to wear loose clothing), would like to wear women's T-shirts. Could you please produce women's T-shirts at least up to size XXL?!?!?!?! I don't buy clothes that don't fit me.|3.0|1|"Hi Manuela, actually, we do have women's shirts in XXL from time to time, and you can find the current selection under <a href=""https://www.elbenwald.de/Filme-und-Serien/Bekleidung/Girlie-Shirts-und-Tops/?p=1&amp;o=11&amp;n=20&amp;f=42"">Movies &amp; Series</a>, <a href=""https://www.elbenwald.de/Gaming/Bekleidung/Girlie-Shirts-und-Tops/?p=1&amp;o=11&amp;n=20&amp;f=42"">Gaming</a>, and <a href=""https://www.elbenwald.de/Manga-Anime/Bekleidung/Girlie-Shirts-Tops/?p=1&amp;o=11&amp;n=20&amp;f=42"">Anime &amp; Manga</a>. Best wishes from Elbenwald!"|2018-01-15 10:29:46
E1011389|Patrick|Sehr schön|"My sister bought this wand and I am positively thrilled.
And when will Remus Lupin's wand be available again?"|5.0|1|"Hi Patrick, here you can find the {""Wand of Remus Lupin""|ArticleUrlOrNot:E1016155:""currently out of stock""}. Best wishes from the Elven Forest!"|2018-01-15 13:23:03
E1045309|Lea|Funktioniert nicht!|Unfortunately, the watch doesn't work; it was a birthday present and now I'm very disappointed and angry...the rating obviously only applies to that. The watch's appearance deserves 10 stars. But this really shouldn't happen.|1.0|1|"Hi Lea, we are truly sorry about that. Please send us a message to our <a href=""https://www.elbenwald.de/Kontaktformular"">customer support</a>, and we will assist you with the exchange. Best wishes from Elbenwald!"|2018-01-15 14:34:14
E1047138|Ola|Frage|Could you use it as sports equipment? What do you think?|3.0|1|Hi Ola, unfortunately I can't answer this question for you, it's up to you. Best wishes from the Elbenwald!|2018-01-15 17:15:38
E1007189|felicitas|zubehör?|Dear Elbenwald team, is there only the curtain or is there also accessories available?|5.0|1|"Hi Felicitas, with this article, you only get the robe. However, we also have <a href=""https://www.elbenwald.de/Harry-Potter/Slytherin/?p=1&amp;o=11&amp;n=20&amp;f=667%7C668"">Slytherin ties and scarves</a> in our assortment. Best regards from Elbenwald!"|2018-01-15 17:16:17
E1016514|Ginnia|WICHTIG!!!!|Also, the color fades very quickly! (And when I say very quickly, I mean in 2 or 3 days!) When you buy it, it's still pretty good, but in the first few weeks, the color fades!! I spent 40 € on it in the store and it's disappointing! Don't let them rip you off!|3.0|1|"Hi Ginnia, this is really annoying and shouldn't be like this. Please send us a message to our <a href=""https://www.elbenwald.de/Kontaktformular"">customer support</a>, we'd be happy to assist you with the exchange. Best wishes from Elbenwald!"|2018-01-15 20:37:45
E1016516|Kai McGonagall|Bester Zauberstab + Frage an Elbenwald|"It is and will always remain my favorite wand.
However, I do have a question about the Elvenwood.
Will this wand also be available again in the Ollivander Edition? After all, it is one of the most important ones.

Best regards,

Kai McGonagall"|5.0|1|Hi Kai, unfortunately, this wand is not available in the Ollivander edition, and something like that is not planned. Best wishes from the Elvenwood!|2018-01-15 23:00:58
E1044403|juhmaen|Super Schal|"So, this scarf is really top-notch! So for €20 (a very long discount), you really can't go wrong. If, like me, you're a Hufflepuff and your favorite character is Newt Scamander, it's a great addition. There's just one tiny little problem with the scarf. Is it normal for the scarf to crease? Because with me, the scarf, which is very wide, is half as wide because it's folded in on both sides. I would be very grateful for some feedback.

Best regards,
juhmaen"|5.0|1|Hi juhmaen, that can happen sometimes. We recommend that you dry the scarf lying flat (for example, between towels), then the problem should occur less often. Best wishes from the Elbenwald!|2018-01-16 15:45:55
E1011395|Lucius Malfoy|Mal eine Frage|I'm more of a fan of black and evil wands, and now I'm wondering which two wands I should buy. Could you please help me?|5.0|1|"Hi Lucius, here's a small selection of dark wands: <a href=""https://www.elbenwald.de/Harry-Potter/Lucius-Malfoys-Gehstock-p.html"">Lucius</a>, <a href=""https://www.elbenwald.de/Harry-Potter/Narzissa-Malfoy-Zauberstab-Charakter-Edition-p.html"">Narzissa</a>, <a href=""https://www.elbenwald.de/Harry-Potter/Todesser-Zauberstab-Dunkles-Mal-Charakter-Ed.-p.html"">Todesser Dark Mark</a>, <a href=""https://www.elbenwald.de/Harry-Potter/Todesser-Zauberstab-Totenkopf-Charakter-Edition-p.html"">Todesser Skull</a>, <a href=""https://www.elbenwald.de/Harry-Potter/Yaxley-Zauberstab-Charakter-Edition-p.html"">Yaxley</a>, <a href=""https://www.elbenwald.de/Harry-Potter/Todesser-Zauberstab-Schlange-Charakter-Edition-p.html"">Todesser Snake</a> or <a href=""https://www.elbenwald.de/Harry-Potter/Todesser-Zauberstab-Stallion-Charakter-Edition-p.html"">Todesser Stallion</a>. Best wishes from Elbenwald!"|2018-01-16 16:43:12
E1044617|Michelle|Sooo Flauschig!|A great, fluffy blanket that was very well received as a Christmas gift :) It is beautifully made and looks great too. There was just one little thing for me as a Harry Potter fan to comment on: Why is Hufflepuff blue? o.o I only noticed this when giving it away, but it didn't diminish the joy of the gift at all ^_^ Highly recommended!|5.0|1|Hi Michelle, I honestly apologize, but this variant of the logo is the only one we are allowed to use. Best regards from the Elbenwald!|2018-01-16 17:36:18
E1027100|Sabrina|Leider verbesserungswürdig|I received the remote control as a Christmas gift from my friend, as I had wished for it... Unfortunately, it didn't work. We then drove to the store to exchange it. The lady at the cash register was really very nice, and we were able to take a new one home with us. When I got home, I noticed that the second one also didn't really work, no matter what I did, the TV kept turning off, and unfortunately, it only happened when I stood directly in front of it. For just under 60 euros, this was unfortunately a disappointment for me (especially since we had taken the long trip from a 3/4 to the next store just for this). Otherwise, I'm actually always satisfied with the products from Elbenwald.|3.0|1|"Hi Sabrina, we are truly sorry about that. Please send us a message to our <a href=""https://www.elbenwald.de/Kontaktformular"">customer support</a>, together we will surely find a solution. Best wishes from Elbenwald!"|2018-01-16 18:19:37
E1048743|Paulina Ravenclaw|Note: M|"I bought the shirt for myself a month ago. My joy that there was finally something to go with my house was huge and the anticipation was great... the greater the disappointment. The white is very translucent and feels very thin (similar to a pajama top). Although nothing ran in the wash (I was already worried because of the dark sleeves), it was noticeably shorter afterward—and no, I didn't wash it too hot. So far, I've never had any problems with your shirts in this regard.
Therefore, I cannot recommend it for purchase (unless maybe as a top for pajamas)."|2.0|1|"Hi Paulina, we are truly sorry about this. Please therefore contact our <a href=""https://www.elbenwald.de/Kontaktformular"">customer support</a>, together we will surely find a solution. Best regards from Elbenwald!"|2018-01-17 20:01:52
E1048226|Nomaj|Wann gibt es sie wieder in Größe 38-40?|"A friend of mine has a birthday in February and I would love to give her these slippers. Will it take a long time until they are available again?
Best regards and keep up the good work! You guys are great."|5.0|1|Hi Nomaj, I honestly apologize, the slippers in size 38-40 are currently completely sold out and will not be restocked. Best wishes from the Elven Forest!|2018-01-17 21:37:33
E1044616|Tobias|Leider nicht mehr erhätlich|"Hello dear Elbenwald team,

will this blanket be available again in the assortment? I would love to get two of them."|5.0|1|Hi Tobias, we have already reordered the ceiling, unfortunately there is still no delivery date. Best wishes from the Elbenwald!|2018-01-18 09:11:41
E1011383|Andreas|Probleme im Shop|The staff should be in stock at the shop in Kiel. That's why I went there specially. They couldn't find the staff there. Maybe there would be one in the basement, but the salesperson couldn't go there. That was disappointing, especially when you go to a branch specially because you want something quickly as a birthday present. It worked online later, although too late for the birthday.|2.0|1|Hi Andreas, we honestly regret this and it should not have happened. I can only apologize to you for it. Best regards from the Elbenwald!|2018-01-20 19:06:14
E1005729|Albus Dumbledore|Billige Qualität!!!|I was really excited about the ring and always treated it with care; it was in 2 display cases (his and mine), and now I took it out once and it fell from 30 cm to the floor. BROKEN!! I'm disappointed that the stone was only so loosely set. I think I just had bad luck. That's why I also recommend buying all those things I would check how securely the stone is set.|1.0|1|"Hi Albus, we are truly sorry about this. Please contact our <a href=""https://www.elbenwald.de/Kontaktformular"">customer support</a>, together we will surely find a solution. Best wishes from Elbenwald!"|2018-01-21 09:20:53
E1025588|Scotia|Totale Verschwendung an Geld|The tie tore the first time it was tried on.|1.0|1|"Hello Scotia, this should not have happened and we honestly apologize. Please send a message to our <a href=""https://www.elbenwald.de/Kontaktformular"">customer support</a>, we would be happy to assist you with the exchange. Best wishes from Elbenwald!"|2018-01-21 09:29:23
E1031409|LeaRavenclaw|Hallo Elbenwald|I'm totally in love with the sweater, but it's quite expensive for me, and I wanted to ask when the sweater will be available again in S and M sizes, because I would really like to try it on beforehand and make sure it fits perfectly, otherwise it would be a real shame.|5.0|1|Hi Lea, we have already reordered the sweaters and expect delivery in the coming weeks. Best wishes from the Elbenwald!|2018-01-21 12:45:12
E1049086|Bibi Schuster|Melts|Can I also use melts / scented wax instead of oil in this magical piece?|5.0|1|Hi Bibi, we don't have any experience with that, I'm sorry. Best wishes from the Elbenwald!|2018-01-22 15:37:54
E1034065|Loony|Es ist meine erste Harry Potter Figur (wenn auch garantiert nicht die letzte) und|I am thrilled with DUMBLEDORE!!! I received him as a gift and although I actually wanted the other Dumbledore figure, soooo cool! Very nice with lots of details. I do have one question though: can you turn the head, or is that just the case with mine?|5.0|1|"Hi Loony, the head of the figure is supposed to be rotatable. If this is not the case with yours, please contact our <a href=""https://www.elbenwald.de/Kontaktformular"">customer support</a>. Best wishes from Elbenwald!"|2018-01-22 20:07:58
E1001824|Harry12|Fliegt der nimbus|Hi, I wanted to ask if the Nimbus 2000 or 2001 really flies. Could you maybe tell me that? It's really stupid to spend so much money and then have the thing not fly.|2.0|1|Hi Harry12, it all depends on your magical abilities. We sell a non-magical broomstick, otherwise we would naturally get into trouble with the Ministry of Magic. Best wishes from the Elven Forest!|2018-01-22 22:31:32
E1044453|Jonas|Frage!|Is there a metal rod inside the wand? Like in the other wands from Harry Potter?|5.0|1|Hi Jonas, the current wands are no longer reinforced with a metal rod, but with plastic. This makes the wand even more stable. Best wishes from the Elvenwood!|2018-01-22 22:45:33
E1001668|Leoxi|Frage an Elbenwald|Is the mirror alone 42•21 without the frame or is it 42•21 in total with the mirror and the frame? Should my son get it?|5.0|1|Hi Leoxi, the dimensions refer to the mirror including the frame. Best regards from the Elbenwald!|2018-01-23 06:51:42
E1005731|RavenclawfanNo1|Frage an Elbenwald|Is the letter from R.A.B to the Dark Lord also included with the locket?|5.0|1|Hi Ravenclaw, this medallion also contains the document from Regulus. By the way, you can find this and further information in the item description. Best wishes from the Elvenwood!|2018-01-23 10:40:56
E1011391|Mr potterhead|Kurze Frage|Do the rods cost the same in all branches?|5.0|1|Hi Potterhead, the wands have the same price in every one of our stores and also in the online shop. Best wishes from the Elvenwood!|2018-01-23 17:30:24
E1027100|Sabrina|Leider noch verbesserungswürdig|I tried two sticks... Unfortunately, it only works if you stand directly in front of the TV... Even then, I could only program it to turn off the TV, regardless of the movement I made, the TV turned off. So a second command, like changing the channel or something similar, was not possible... I'm a bit disappointed because I expected a bit more for the almost €60. Otherwise, I'm always fully satisfied with the products from Elbenwald.|1.0|1|"Hi Sabrina, we honestly regret this and it shouldn't be like that. Please contact our <a href=""https://www.elbenwald.de/Kontaktformular"">customer support</a>, together we will surely find a solution. Best wishes from Elbenwald!"|2018-01-24 11:24:20
E1011395|Harry Fan|Eine Frage|How many wands are there in the Character Edition?|5.0|1|Hi Fan, there are over 80 wands, currently we have 48 different character editions in stock. Best wishes from the Elven Forest!|2018-01-24 17:19:49
E1049679|Sarah|Najaaaa...|It looks quite pretty.. but I think the tongue & teeth are poorly made.. unfortunately, I didn't notice this in the photos, otherwise I wouldn't have bought it.. the long hair on the edges is also very easily removable.. for 50€, I expected more.. :-(|2.0|1|"Hi Sarah, I'm truly sorry about that. Please get in touch with our <a href=""https://www.elbenwald.de/Kontaktformular"">customer support</a>, together we'll surely find a solution. Best wishes from Elbenwald!"|2018-01-25 11:15:10
E1048529|John Snow|Frage|What is the mural made of???|5.0|1|Hi John, the mural is a printed canvas. Best wishes from the Elbenwald!|2018-01-27 16:42:38
