SKU,User,Title,Content,Points,Status,Comment,Date of Review,Cleaned_Content,Cleaned_Comment,Combined_Text,Content_Comment_Consistency
E1031420,Galadriel,Frage an Elbenwald,When will the scarf be available again?,5.0,1,"Hi Galadriel, we have already placed a reorder. However, we expect the delivery only by the end of February/early March. Best wishes from the Elvenwood!",2018-01-03 18:37:19,scarf avail,hi galadriel alreadi place reorder howev expect deliveri end februaryearli march best wish elvenwood,scarf avail hi galadriel alreadi place reorder howev expect deliveri end februaryearli march best wish elvenwood,0.94080114
E1041834,Leoni,Super schön,"I haven't bought the costume yet, but I already find it totally cute. I have one question: Can the jacket be removed? Because with many costumes, that's not possible.",5.0,1,"Hi Leonie, since the shirt is not part of the delivery and the costume only consists of the jacket and the shorts, you can of course put the jacket on and take it off as often as you like. Best wishes from the Elven Forest!",2018-01-03 22:35:39,havent bought costum yet alreadi find total cute one question jacket remov mani costum that possibl,hi leoni sinc shirt part deliveri costum consist jacket short cours put jacket take often like best wish elven forest,havent bought costum yet alreadi find total cute one question jacket remov mani costum that possibl hi leoni sinc shirt part deliveri costum consist jacket short cours put jacket take often like best wish elven forest,0.9758349
E1034109,Harry Potter,Hagrid und Hermine??????,"Hello, Elbenwald. I would like to know if you also sell Hagrid as a Funko and also if you sell the regular Hermione (without the Time-Turner and the bruise under her eye).",5.0,1,"Hi Harry, our selection of mini-figures changes from time to time, unfortunately I can't give you more specific information. Feel free to check in with us every now and then. Best wishes from the Elvenwood!",2018-01-04 14:04:50,hello elbenwald would like know also sell hagrid funko also sell regular hermion without timeturn bruis eye,hi harri select minifigur chang time time unfortun cant give specif inform feel free check us everi best wish elvenwood,hello elbenwald would like know also sell hagrid funko also sell regular hermion without timeturn bruis eye hi harri select minifigur chang time time unfortun cant give specif inform feel free check us everi best wish elvenwood,0.84863335
E1048229,Ben,Sehen super aus - Qualität naja.,"Already on the first day of wearing them, the seam to the sole came undone. However, I didn't return the slippers because I thought this would probably happen again sooner or later, so I sewed them myself. They look great and are very soft.",2.0,1,"Hi Ben, too bad you didn't get in touch. We would of course have exchanged the slippers. Best wishes from the Elven Forest!",2018-01-04 16:23:49,alreadi first day wear seam sole came undon howev didnt return slipper thought would probabl happen sooner later sew look great soft,hi ben bad didnt get touch would cours exchang slipper best wish elven forest,alreadi first day wear seam sole came undon howev didnt return slipper thought would probabl happen sooner later sew look great soft hi ben bad didnt get touch would cours exchang slipper best wish elven forest,0.9817415
E1006144,Eule,Sehen im Set super aus :),I wished for the earrings for Christmas :) they look great :) They complete the necklace and ring to make a wonderful set :) Now I'm just looking for a matching bracelet.,5.0,1,"Hi Owl, a suitable bracelet could be, for example, this {""Evening Star Bracelet""|ArticleUrlOrNot:E1002188:""currently out of stock""}. Best wishes from the Elvenwood!",2018-01-04 20:49:13,wish ear christma look great complet necklac ring make wonder set im look match bracelet,hi owl suitabl bracelet could exampl even star braceletarticleurlornotecurr stock best wish elvenwood,wish ear christma look great complet necklac ring make wonder set im look match bracelet hi owl suitabl bracelet could exampl even star braceletarticleurlornotecurr stock best wish elvenwood,0.92788154
E1029077,Chrissyka,Leider Entäuschend,"The bag does not do justice to the photo; the card is barely visible to me, and the fabric is much darker. The double-D closure (the rings for adjusting the shoulder strap) does not hold for me. I was very disappointed and will return the bag if possible. Too bad, it's really nice and soft and spacious.",2.0,1,"Hi Chrissyka, we are truly sorry about this. Please contact our <a href=""https://www.elbenwald.de/Kontaktformular"">customer support</a>, together we will surely find a solution. Best wishes from Elbenwald!",2018-01-04 22:12:55,bag justic photo card bare visibl fabric much darker doubl closur ring adjust shoulder strap hold disappoint return bag possibl bad realli nice soft spaciou,hi chrissyka truli sorri pleas contact hrefhttpswwwelbenwalddekontaktformularcustom supporta togeth sure find solut best wish elbenwald,bag justic photo card bare visibl fabric much darker doubl closur ring adjust shoulder strap hold disappoint return bag possibl bad realli nice soft spaciou hi chrissyka truli sorri pleas contact hrefhttpswwwelbenwalddekontaktformularcustom supporta togeth sure find solut best wish elbenwald,0.8498427
E1049083,Vanessa,Kurios,"I wanted to give these balls to my friend as a birthday present this year because he's a big Harry fan. 
But since they were no longer available, I had myself informed by email if they should be in stock again. I received an email yesterday at 23:31 (04.12.18), now I go to the article and they are not available again. Seriously?! Within just under 2 hours, everything is gone again? O.o",3.0,1,"Hi Vanessa, we only received a small delivery, which was actually sold out on the same day. I'm truly sorry that it didn't work out. Best regards from the Elbe Forest!",2018-01-05 02:37:00,want give ball friend birthday present year he big harri fan sinc longer avail inform email stock receiv email yesterday go articl avail serious within hour everyth gone oo,hi vanessa receiv small deliveri actual sold day im truli sorri didnt work best regard elb forest,want give ball friend birthday present year he big harri fan sinc longer avail inform email stock receiv email yesterday go articl avail serious within hour everyth gone oo hi vanessa receiv small deliveri actual sold day im truli sorri didnt work best regard elb forest,0.8267205
E1044404,Hermine,Liebes Elbenwald-Team...,"Dear Elbenwald Team, what is actually the difference between the scarf and the one for 29.90 Euros?",5.0,1,"Hi Hermine, the scarves come from different manufacturers. This one here is only available from us, the biggest differences to the other one are the length of the scarf, the fringe, and the color of the logo. Best regards from the Elvenwood!",2018-01-06 20:38:23,dear elbenwald team actual differ scarf one euro,hi hermin scarv come differ manufactur one avail us biggest differ one length scarf fring color logo best regard elvenwood,dear elbenwald team actual differ scarf one euro hi hermin scarv come differ manufactur one avail us biggest differ one length scarf fring color logo best regard elvenwood,0.9076535
E1036564,Sandra,"coole Farbe, passt leider nicht","Unfortunately, the costume was much too big for me. I wear a size 38 or M, and the M costume was especially too wide at the shoulders.",3.0,1,"Hi Sandra, we are truly sorry about that. Please send us a message through our <a href=""https://www.elbenwald.de/Kontaktformular"">customer support</a>, we would be happy to assist you with the exchange. Best regards from Elbenwald!",2018-01-06 21:09:34,unfortun costum much big wear size costum especi wide shoulder,hi sandra truli sorri pleas send us messag hrefhttpswwwelbenwalddekontaktformularcustom supporta would happi assist exchang best regard elbenwald,unfortun costum much big wear size costum especi wide shoulder hi sandra truli sorri pleas send us messag hrefhttpswwwelbenwalddekontaktformularcustom supporta would happi assist exchang best regard elbenwald,0.91033345
E1002285,Frodo,Ein echt toller Ring,"I find this ring really well made, but I wore it for two hours and when I took it off, I had a green finger at the spot where the ring had been, and the color of the ring was no longer completely visible on the inside.
As I said, I otherwise find the ring quite good and can actually recommend it.",3.0,1,"Hi Frodo, we are truly sorry about this. Please reach out to our <a href=""https://www.elbenwald.de/Kontaktformular"">customer support</a> with a message, together we will surely find a solution. Best wishes from Elbenwald!",2018-01-07 12:33:18,find ring realli well made wore two hour took green finger spot ring color ring longer complet visibl insid said otherwis find ring quit good actual recommend,hi frodo truli sorri pleas reach hrefhttpswwwelbenwalddekontaktformularcustom supporta messag togeth sure find solut best wish elbenwald,find ring realli well made wore two hour took green finger spot ring color ring longer complet visibl insid said otherwis find ring quit good actual recommend hi frodo truli sorri pleas reach hrefhttpswwwelbenwalddekontaktformularcustom supporta messag togeth sure find solut best wish elbenwald,0.91819423
E1005729,Lordi Voldi,Eine Frage?,"The one on the ring is indeed the Resurrection Stone, right? And what materials is the ring and the stone made of?",5.0,1,"Hi Lord, the ring is made of a zinc alloy, the stone is made of plastic and has a metallic underside. Best wishes from the Elvenwood!",2018-01-07 20:20:07,one ring inde resurrect stone right materi ring stone made,hi lord ring made zinc alloy stone made plastic metal undersid best wish elvenwood,one ring inde resurrect stone right materi ring stone made hi lord ring made zinc alloy stone made plastic metal undersid best wish elvenwood,0.9457588
E1019965,Christiane,Rückzahlung dauert zu lange,"I understand that returns after Christmas may take a little longer, but after 11 days, still no refund? I've already received the second order (I ordered a size larger) and it's really going very well with you. But you still need to work on the return service.",2.0,1,"Hi Christiane, unfortunately, I couldn't clearly assign an order to you. Please contact our <a href=""https://www.elbenwald.de/Kontaktformular"">customer support</a>, together we will surely find a solution. Best regards from Elbenwald!",2018-01-08 09:16:26,understand return christma may take littl longer day still refund ive alreadi receiv second order order size larger realli go well still need work return servic,hi christian unfortun couldnt clearli assign order pleas contact hrefhttpswwwelbenwalddekontaktformularcustom supporta togeth sure find solut best regard elbenwald,understand return christma may take littl longer day still refund ive alreadi receiv second order order size larger realli go well still need work return servic hi christian unfortun couldnt clearli assign order pleas contact hrefhttpswwwelbenwalddekontaktformularcustom supporta togeth sure find solut best regard elbenwald,0.8594514
E1041301,Holger,Sehr dünner Stoff,"I ordered XXL because I usually wear XL. So far, so good. However, I absolutely do not like the fabric quality. Honestly, I can't remember a shirt in 20 years that had such a thin, flimsy, and lightweight fabric.

If you like something light, stretchy, and airy, you're in the right place though.",2.0,1,"Hi Holger, please contact our <a href=""https://www.elbenwald.de/Kontaktformular"">customer support</a> with a message, we are happy to assist you with the return. Best regards from Elbenwald!",2018-01-08 11:04:50,order xxl usual wear xl far good howev absolut like fabric qualiti honestli cant rememb shirt year thin flimsi lightweight fabric like someth light stretchi airi your right place though,hi holger pleas contact hrefhttpswwwelbenwalddekontaktformularcustom supporta messag happi assist return best regard elbenwald,order xxl usual wear xl far good howev absolut like fabric qualiti honestli cant rememb shirt year thin flimsi lightweight fabric like someth light stretchi airi your right place though hi holger pleas contact hrefhttpswwwelbenwalddekontaktformularcustom supporta messag happi assist return best regard elbenwald,0.85298
E1046074,Boba,Wieso????,"WHY do you put a Star Wars logo on the back pockets somewhere????
For fans, it's obviously Star Wars, and non-fans don't even need to know! Why are you doing this to me????",3.0,1,"Hi Boba, since we don't manufacture this bag ourselves, unfortunately we also have no influence on the design, I'm really sorry. Best wishes from the Elven Forest!",2018-01-08 19:22:35,put star war logo back pocket somewher fan obvious star war nonfan dont even need know,hi boba sinc dont manufactur bag unfortun also influenc design im realli sorri best wish elven forest,put star war logo back pocket somewher fan obvious star war nonfan dont even need know hi boba sinc dont manufactur bag unfortun also influenc design im realli sorri best wish elven forest,0.9073468
E1043297,Bennet,"Wunderschöne Figur, jedoch...","Unfortunately, with the Hungarian Hornet (at least for me), you can clearly see on the top of the display case lid that too much glue/silicone was used. That is, when the piece in wood finish was glued to the display case, the glue/silicone overflowed. It really doesn't look very nice. But the figure itself is wonderful, the only deduction is for the messy gluing.",4.0,1,"Hi Bennet, please get in touch with us via our <a href=""https://www.elbenwald.de/Kontaktformular"">customer support</a> with a message and a photo of the figure, together we will surely find a solution. Best wishes from Elbenwald!",2018-01-09 12:43:43,unfortun hungarian hornet least clearli see top display case lid much gluesilicon use piec wood finish glu display case gluesilicon overflow realli doesnt look nice figur wonder deduct messi glu,hi bennet pleas get touch us via hrefhttpswwwelbenwalddekontaktformularcustom supporta messag photo figur togeth sure find solut best wish elbenwald,unfortun hungarian hornet least clearli see top display case lid much gluesilicon use piec wood finish glu display case gluesilicon overflow realli doesnt look nice figur wonder deduct messi glu hi bennet pleas get touch us via hrefhttpswwwelbenwalddekontaktformularcustom supporta messag photo figur togeth sure find solut best wish elbenwald,0.7250132
E1043295,bert,"Betrug,in kleinsten Dingen","The video says that the figure is 18 cm tall, but that's not true, I measured 17.5 cm!!! I think if you're going to make a video, you should give the correct measurements and not just half-truths.
I will probably keep the figure despite these issues and give it 5 stars.",3.0,1,"Hi Bert, it's a shame that you're taking it that way. The correct height of 17.5 cm is stated in the item description for the figure, and I can only apologize for the inaccurate rounding in the video. Best wishes from the Elvenwood!",2018-01-09 17:03:28,video say figur cm tall that true measur cm think your go make video give correct measur halftruth probabl keep figur despit issu give star,hi bert shame your take way correct height cm state item descript figur apolog inaccur round video best wish elvenwood,video say figur cm tall that true measur cm think your go make video give correct measur halftruth probabl keep figur despit issu give star hi bert shame your take way correct height cm state item descript figur apolog inaccur round video best wish elvenwood,0.8513262
E1003195,Unbekannt,SLYTHERIN? GRÜN?,Why is Slytherin here blue and not green? I'm just curious! It wasn't meant to be mean!!! Best regards!,5.0,1,"Hi Unknown, it's a dark emerald green here, blue is really only the Ravenclaw logo. Best wishes from the Elvenwood!",2018-01-09 20:21:31,slytherin blue green im curiou wasnt meant mean best regard,hi unknown dark emerald green blue realli ravenclaw logo best wish elvenwood,slytherin blue green im curiou wasnt meant mean best regard hi unknown dark emerald green blue realli ravenclaw logo best wish elvenwood,0.98601896
E1040991,Sandra,Schlechte Qualität,It went exactly the same for me as it did for Tiina - the sweater was washed just once and the colors faded so much that the sweater now looks like it's already 10 years old! My daughter is also very disappointed because she wanted the sweater so much....,1.0,1,"Hi Sandra, we are truly sorry about that. Please contact our <a href=""https://www.elbenwald.de/Kontaktformular"">customer support</a>, together we will surely find a solution. Best regards from Elbenwald!",2018-01-10 09:01:03,went exactli tiina sweater wash color fade much sweater look like alreadi year old daughter also disappoint want sweater much,hi sandra truli sorri pleas contact hrefhttpswwwelbenwalddekontaktformularcustom supporta togeth sure find solut best regard elbenwald,went exactli tiina sweater wash color fade much sweater look like alreadi year old daughter also disappoint want sweater much hi sandra truli sorri pleas contact hrefhttpswwwelbenwalddekontaktformularcustom supporta togeth sure find solut best regard elbenwald,0.8531508
E1000804,Kai,Schöner Ring,"I would just like to know why there is no replica of Nenya that looks exactly the same. The replica of Narya looks just like the ring in the movie, except for the color, which is not accurate. But otherwise, I am also satisfied; the €150 version is already better than the one for €89.",4.0,1,"Hi Kai, unfortunately, the replica of Nenya has been sold out for a long time and cannot be reordered, I'm really sorry. Best wishes from the Elvenwood!",2018-01-10 09:26:14,would like know replica nenya look exactli replica narya look like ring movi except color accur otherwis also satisfi version alreadi better one,hi kai unfortun replica nenya sold long time cannot reorder im realli sorri best wish elvenwood,would like know replica nenya look exactli replica narya look like ring movi except color accur otherwis also satisfi version alreadi better one hi kai unfortun replica nenya sold long time cannot reorder im realli sorri best wish elvenwood,0.9300217
E1044445,Albus,Dumbledore,I have a question: is there also an Elderstaff?,5.0,1,"Hi Albus, unfortunately, the Lumos Elder Wand is no longer being produced, I honestly feel sorry about that. Best wishes from the Elven Forest!",2018-01-10 15:46:30,question also elderstaff,hi albu unfortun lumo elder wand longer produc honestli feel sorri best wish elven forest,question also elderstaff hi albu unfortun lumo elder wand longer produc honestli feel sorri best wish elven forest,0.8875804
E1045509,Luana Snape,Frage,Will this backpack also be available for Ravenclaws?,5.0,1,"Hi Luana, unfortunately, we haven't discovered a Ravenclaw variant yet, but we'll keep our eyes open. Best wishes from the Elvenwood!",2018-01-10 17:48:13,backpack also avail ravenclaw,hi luana unfortun havent discov ravenclaw variant yet well keep eye open best wish elvenwood,backpack also avail ravenclaw hi luana unfortun havent discov ravenclaw variant yet well keep eye open best wish elvenwood,0.96064025
E1048529,Lilly Potter,Schönes Bild,A friend of mine bought this beautiful picture and I'm planning to do the same. Are there such luminous pictures with other motifs available?,5.0,1,"Hi Lilly, currently we don't have any more pictures in our range, but I'll gladly pass on your wish to our developers. Best wishes from the Elbenwald!",2018-01-10 20:01:57,friend mine bought beauti pictur im plan lumin pictur motif avail,hi lilli current dont pictur rang ill gladli pass wish develop best wish elbenwald,friend mine bought beauti pictur im plan lumin pictur motif avail hi lilli current dont pictur rang ill gladli pass wish develop best wish elbenwald,0.9606304
E1000642,Nicole,Absolut überteuert und die Qualität einfach nur schlecht!,"The price is absolutely not justified. At first glance, it looks nice, but upon closer inspection, it's of absolutely poor quality. 20€ might be appropriate, but anything beyond that is just a rip-off. I really expected more from this online retailer. I could have ordered it in China for significantly less money. Impossible! I would love to return it, but unfortunately, my child, being a huge Hermione fan, would be sad.",2.0,1,"Hi Nicole, it's a shame that you have such a bad impression of our time machine. Please contact our <a href=""https://www.elbenwald.de/Kontaktformular"">customer support</a>, together we will surely find a solution. Best regards from Elbenwald!",2018-01-10 20:34:05,price absolut justifi first glanc look nice upon closer inspect absolut poor qualiti might appropri anyth beyond ripoff realli expect onlin retail could order china significantli less money imposs would love return unfortun child huge hermion fan would sad,hi nicol shame bad impress time machin pleas contact hrefhttpswwwelbenwalddekontaktformularcustom supporta togeth sure find solut best regard elbenwald,price absolut justifi first glanc look nice upon closer inspect absolut poor qualiti might appropri anyth beyond ripoff realli expect onlin retail could order china significantli less money imposs would love return unfortun child huge hermion fan would sad hi nicol shame bad impress time machin pleas contact hrefhttpswwwelbenwalddekontaktformularcustom supporta togeth sure find solut best regard elbenwald,0.8372292
E1041533,Leslie,Schönes T-Shirt,"It's not an original Marvel shirt, but it's well printed. It was just unfortunately a bit too big, but I'll order a new one.",4.0,1,"Hi Leslie, the shirt is officially licensed by Marvel. Best wishes from the Elven Forest!",2018-01-10 20:53:58,origin marvel shirt well print unfortun bit big ill order new one,hi lesli shirt offici licens marvel best wish elven forest,origin marvel shirt well print unfortun bit big ill order new one hi lesli shirt offici licens marvel best wish elven forest,0.91440535
E1044454,Thomas Pfister,Frage an Elbenwald,"Are all PTuwszfs rods actually from the NobleCollection or are they at least licensed products?
Thanks
Thomas",5.0,1,"Hi Thomas, all our wands are officially licensed products, the wands from PTuwszfs all come from The Noble Collection. By the way, you can also find this and more information in our item description. Best wishes from the Elvenwood!",2018-01-10 21:40:29,ptuwszf rod actual noblecollect least licens product thank thoma,hi thoma wand offici licens product wand ptuwszf come nobl collect way also find inform item descript best wish elvenwood,ptuwszf rod actual noblecollect least licens product thank thoma hi thoma wand offici licens product wand ptuwszf come nobl collect way also find inform item descript best wish elvenwood,0.88030314
E1000642,Kenneth,Hmm,"Hello, I'm considering buying the Time Turner. Since I'm male, is the Time Turner ""unisex""? And can the gold alloy wear off over time?? Because I would also wear it. Thanks in advance.",5.0,1,"Hi Kenneth, our wand expert Chris often uses his time-turner, and here it really doesn't matter whether you're a witch or wizard. However, I must point out that this is a collector's item, and therefore we haven't conducted a long-term durability test on the gilding. Best wishes from the Elvenwood!",2018-01-10 21:41:52,hello im consid buy time turner sinc im male time turner unisex gold alloy wear time would also wear thank advanc,hi kenneth wand expert chri often use timeturn realli doesnt matter whether your witch wizard howev must point collector item therefor havent conduct longterm durabl test gild best wish elvenwood,hello im consid buy time turner sinc im male time turner unisex gold alloy wear time would also wear thank advanc hi kenneth wand expert chri often use timeturn realli doesnt matter whether your witch wizard howev must point collector item therefor havent conduct longterm durabl test gild best wish elvenwood,0.9276376
E1019338,Margot,Enttäuscht,I bought this mechanical pencil last spring. The clip for the lead broke the first time I used it. Now the lead slips into the clip every time I write. :( What a shame!,1.0,1,"Hi Margot, it's a shame you didn't contact our <a href=""https://www.elbenwald.de/Kontaktformular"">customer support</a> directly. Please follow up on that, maybe we can still find a solution. Best wishes from Elbenwald!",2018-01-12 22:52:01,bought mechan pencil last spring clip lead broke first time use lead slip clip everi time write shame,hi margot shame didnt contact hrefhttpswwwelbenwalddekontaktformularcustom supporta directli pleas follow mayb still find solut best wish elbenwald,bought mechan pencil last spring clip lead broke first time use lead slip clip everi time write shame hi margot shame didnt contact hrefhttpswwwelbenwalddekontaktformularcustom supporta directli pleas follow mayb still find solut best wish elbenwald,0.84025824
